word,neg_tf,bdc,neg_tf_bdc
异响,311.73,0.86,267.5
问题,594.37,0.4,238.58
召回,195.35,0.95,186.08
严重,211.98,0.81,170.98
故障,162.1,0.76,123.95
不,976.77,0.11,110.31
抖动,124.69,0.84,104.37
太,378.24,0.25,94.85
解决,141.32,0.64,90.36
4S店,182.88,0.39,90.08
4s店,54.03,0.14,90.06
漏油,99.75,0.89,88.65
投诉,95.6,0.87,83.03
出现,216.14,0.34,74.21
机油,145.48,0.5,72.73
怠,83.13,0.8,66.75
欺诈,66.5,0.96,64.05
熄火,87.29,0.71,61.82
声音,112.22,0.55,61.58
很,419.8,0.14,59.6
导致,95.6,0.62,59.16
漏水,66.5,0.89,59.1
存在,116.38,0.49,56.67
烧,70.66,0.78,54.91
空间,199.51,0.27,52.97
安全隐患,62.35,0.81,50.37
质量,174.57,0.28,48.21
缺陷,62.35,0.76,47.21
响,62.35,0.76,47.13
突然,87.29,0.51,44.24
自燃,45.72,0.95,43.43
？,324.2,0.13,42.29
坏,58.19,0.73,42.21
异味,49.88,0.85,42.17
怎么回事,49.88,0.84,41.77
隐患,45.72,0.91,41.74
客服,41.56,1,41.56
不予,41.56,1,41.56
不好,91.44,0.43,39.7
不行,58.19,0.65,37.75
维修,91.44,0.39,35.83
顿挫,62.35,0.57,35.3
感觉,307.58,0.11,34.45
刹车,116.38,0.3,34.38
差,120.54,0.28,34.24
无法,91.44,0.37,34.09
共振,37.41,0.9,33.6
生锈,33.25,1,33.25
下滑,45.72,0.71,32.36
维权,33.25,0.94,31.1
失灵,33.25,0.94,31.1
存,33.25,0.89,29.55
档,83.13,0.35,29.2
损坏,29.1,1,29.1
欺骗,29.1,1,29.1
断裂,29.1,1,29.1
有点,187.04,0.15,28.5
事件,45.72,0.62,28.46
合格证,33.25,0.85,28.25
现象,45.72,0.59,26.96
有限公司,66.5,0.4,26.28
发动机,536.18,0.05,26.01
设计,116.38,0.22,25.93
外观,108.07,0.24,25.83
开裂,24.94,1,24.94
不错,116.38,0.21,24.88
噪音,62.35,0.38,23.77
门,70.66,0.33,23.67
尾气,33.25,0.71,23.63
比较,245.23,0.1,23.34
销量,166.26,0.14,23.09
空调,153.79,0.15,22.37
赔偿,29.1,0.76,22.23
怎么办,33.25,0.67,22.16
变速箱,232.76,0.09,22.08
有异响,24.94,0.86,21.5
响声,24.94,0.86,21.5
简配,24.94,0.86,21.5
非常,66.5,0.31,20.89
保,41.56,0.5,20.88
无果,20.78,1,20.78
裂纹,20.78,1,20.78
冷车,20.78,1,20.78
黑屏,20.78,1,20.78
刺鼻,20.78,1,20.78
气囊,45.72,0.45,20.72
加油,45.72,0.45,20.56
让,207.82,0.1,20.43
配置,137.16,0.15,20.33
不到,78.97,0.26,20.29
更,95.6,0.21,20.26
原因,116.38,0.17,19.96
起步,95.6,0.21,19.87
保修期,29.1,0.68,19.87
太小,33.25,0.6,19.81
厂家,74.82,0.26,19.74
轮胎,116.38,0.17,19.69
行驶,141.32,0.14,19.6
喜欢,124.69,0.16,19.51
制冷,29.1,0.66,19.34
故障率,33.25,0.58,19.33
下跌,24.94,0.77,19.32
吗,116.38,0.16,19.12
厉害,45.72,0.41,18.97
渗油,20.78,0.91,18.83
车型,211.98,0.09,18.71
螺丝,29.1,0.64,18.64
不够,62.35,0.3,18.62
行为,24.94,0.74,18.44
动力,187.04,0.1,18.23
还是,324.2,0.06,18.18
大众公司,29.1,0.62,18.09
实在,78.97,0.22,17.67
拖挡,20.78,0.84,17.5
合格,20.78,0.84,17.5
拒绝,29.1,0.59,17.22
正常,74.82,0.23,17.08
排放,54.03,0.31,16.79
影响,70.66,0.24,16.64
熏,16.63,1,16.63
脱落,16.63,1,16.63
退还,16.63,1,16.63
解决办法,16.63,1,16.63
抖,16.63,1,16.63
大兴,16.63,1,16.63
换,95.6,0.17,16.59
车,665.03,0.02,16.56
上,311.73,0.05,16.47
垃圾,20.78,0.79,16.42
方向机,20.78,0.79,16.42
好,241.07,0.07,16.37
难看,29.1,0.56,16.32
偏,62.35,0.26,16.3
内饰,128.85,0.12,15.97
后排,120.54,0.13,15.55
慢,33.25,0.47,15.54
次,29.1,0.53,15.5
咋,24.94,0.61,15.25
满意,95.6,0.16,14.84
自起,16.63,0.89,14.78
锈蚀,16.63,0.89,14.78
频繁,16.63,0.89,14.78
跟不上,16.63,0.89,14.78
打不开,16.63,0.89,14.78
爆裂,16.63,0.89,14.78
声,24.94,0.59,14.77
死,29.1,0.51,14.75
打不着,20.78,0.71,14.71
粗糙,20.78,0.71,14.71
座椅,120.54,0.12,14.65
感,66.5,0.22,14.65
大,232.76,0.06,14.64
噪,33.25,0.44,14.57
码,33.25,0.44,14.53
发出,24.94,0.58,14.46
明显,124.69,0.11,14.1
放弃,45.72,0.31,14.07
操控,49.88,0.28,14.05
它,91.44,0.15,13.97
开,328.36,0.04,13.88
确实,103.91,0.13,13.85
高,220.29,0.06,13.7
油耗,137.16,0.1,13.7
索赔,16.63,0.82,13.55
丑闻,16.63,0.82,13.55
柴油车,16.63,0.82,13.55
迟迟,20.78,0.65,13.51
调查,20.78,0.64,13.4
山寨,20.78,0.64,13.4
油门,78.97,0.17,13.38
未,45.72,0.29,13.22
！,635.94,0.02,12.84
美国,78.97,0.16,12.78
事故,45.72,0.28,12.7
烫,16.63,0.76,12.63
发生,62.35,0.2,12.61
修理,16.63,0.76,12.58
受不了,16.63,0.76,12.58
傻,16.63,0.76,12.58
减速,16.63,0.76,12.58
没有,357.45,0.04,12.53
最差,12.47,1,12.47
中音,12.47,1,12.47
质检,12.47,1,12.47
长丰,12.47,1,12.47
糟糕,12.47,1,12.47
遭受,12.47,1,12.47
嫌,12.47,1,12.47
五环路,12.47,1,12.47
脱挡,12.47,1,12.47
太丑,12.47,1,12.47
水管,12.47,1,12.47
失效,12.47,1,12.47
漆爆漆,12.47,1,12.47
期内,12.47,1,12.47
漏洞,12.47,1,12.47
漏电,12.47,1,12.47
哐,12.47,1,12.47
极差,12.47,1,12.47
地胶,12.47,1,12.47
导轨,12.47,1,12.47
档升,12.47,1,12.47
嗒,12.47,1,12.47
爆震,12.47,1,12.47
爆漆,12.47,1,12.47
扳,12.47,1,12.47
异常,20.78,0.6,12.44
不爽,20.78,0.6,12.44
火,29.1,0.42,12.34
后轮,33.25,0.37,12.29
但是,261.86,0.05,12.27
为什么,70.66,0.17,12.19
车身,91.44,0.13,12.05
修,29.1,0.41,11.99
小毛病,29.1,0.41,11.86
实施,16.63,0.71,11.77
怠速,20.78,0.56,11.73
最,103.91,0.11,11.62
觉得,153.79,0.08,11.6
电瓶,24.94,0.46,11.58
能,166.26,0.07,11.37
安全,54.03,0.21,11.31
时尚,29.1,0.39,11.28
受损,16.63,0.67,11.08
回事,16.63,0.67,11.08
全新,33.25,0.33,11.02
就是,315.89,0.03,11.01
通病,16.63,0.66,10.98
迟滞,16.63,0.66,10.98
方面,108.07,0.1,10.95
前轮,24.94,0.44,10.95
时,211.98,0.05,10.91
做工,58.19,0.19,10.79
下降,29.1,0.37,10.78
而且,99.75,0.11,10.75
腾,12.47,0.86,10.75
强烈要求,12.47,0.86,10.75
老化,12.47,0.86,10.75
壳子,12.47,0.86,10.75
简陋,12.47,0.86,10.75
积碳,12.47,0.86,10.75
和解,12.47,0.86,10.75
鼓包,12.47,0.86,10.75
断电,12.47,0.86,10.75
答复,12.47,0.86,10.75
老,103.91,0.1,10.64
启动,83.13,0.13,10.59
库存,24.94,0.42,10.58
这,320.05,0.03,10.54
造成,45.72,0.23,10.51
听说,33.25,0.32,10.5
可以,178.73,0.06,10.46
请教,24.94,0.42,10.44
有时,20.78,0.5,10.44
灰尘,20.78,0.5,10.3
蓝牙,33.25,0.31,10.28
表现,33.25,0.31,10.19
造型,37.41,0.27,10.1
方向盘,112.22,0.09,10.07
